品詞,品詞細分類,ワード,ヨミガナ,音素,回文判定,学名
芸人,ピン,西川きよし,ニシカワキヨシ,n i sh i k a w a k i y o sh i,×,-
芸人,ピン,若井みどり,ワカイミドリ,w a k a i m i d o r i,×,-
芸人,ピン,池乃めだか,イケノメダカ,i k e n o m e d a k a,×,-
芸人,コンビ,中田カウスボタン,ナカダカウスボタン,n a k a d a k a u s u b o t a n,×,-
芸人,ピン,間寛平,カンカンピョウ,k a n k a n p y o u,×,-
芸人,ピン,島田一の介,シマダイチノスケ,sh i m a d a i ch i n o s u k e,×,-
芸人,コンビ,サウンドコピー,サウンドコピー,s a u n d o k o p i i,×,-
芸人,コンビ,ザぼんち,ザボンチ,z a b o n ch i,×,-
芸人,ピン,末成由美,マツセイユミ,m a ts u s e i y u m i,×,-
芸人,ピン,Mr.オクレ,ミスターオクレ,m i s u t a a o k u r e,×,-
芸人,コンビ,オール阪神巨人,オールハンシンキョジン,o o r u h a n sh i n k y o j i n,×,-
芸人,コンビ,西川のりお上方よしお,ニシカワノリオジョウホウヨシオ,n i sh i k a w a n o r i o j o u h o u y o sh i o,×,-
芸人,ピン,大平サブロー,オオヒラサブロー,o o h i r a s a b u r o o,×,-
芸人,コンビ,まるむし商店,マルムシショウテン,m a r u m u sh i sh o u t e n,×,-
芸人,ピン,村上ショージ,ムラカミショージ,m u r a k a m i sh o o j i,×,-
芸人,コンビ,宮川大助花子,ミヤガワダイスケハナコ,m i y a g a w a d a i s u k e h a n a k o,×,-
芸人,ピン,未知やすえ,ミチヤスエ,m i ch i y a s u e,×,-
芸人,コンビ,大木こだまひびき,タイボクコダマヒビキ,t a i b o k u k o d a m a h i b i k i,×,-
芸人,コンビ,ダウンタウン,ダウンタウン,d a u n t a u n,×,-
芸人,コンビ,トミーズ,トミーズ,t o m i i z u,×,-
芸人,コンビ,ハイヒール,ハイヒール,h a i h i i r u,×,-
芸人,ピン,内場勝則,ナイバカツノリ,n a i b a k a ts u n o r i,×,-
芸人,ピン,ジミー大西,ジミーオオニシ,j i m i i o o n i sh i,×,-
芸人,ピン,野沢直子,ノザワナオコ,n o z a w a n a o k o,×,-
芸人,ピン,吉田ヒロ,ヨシダヒロ,y o sh i d a h i r o,×,-
芸人,ピン,清水圭,シミズケイ,sh i m i z u k e i,×,-
芸人,ピン,長原成樹,ナガハラシゲキ,n a g a h a r a sh i g e k i,×,-
芸人,コンビ,Wコウジ,ダブルコウジ,d a b u r u k o u j i,×,-
芸人,ピン,今田耕司,イマダコウジ,i m a d a k o u j i,×,-
芸人,ピン,シルク,シルク,sh i r u k u,×,-
芸人,ピン,はじめ,ハジメ,h a j i m e,×,-
芸人,ピン,東野幸治,ヒガシノコウジ,h i g a sh i n o k o u j i,×,-
芸人,コンビ,リットン調査団,リットンチョウサダン,r i t t o n ch o u s a d a n,×,-
芸人,ピン,木村祐一,キムラユウイチ,k i m u r a y u u i ch i,×,-
芸人,ピン,シベリア文太,シベリアブンタ,sh i b e r i a b u n t a,×,-
芸人,ピン,辻本茂雄,ツジモトシゲオ,ts u j i m o t o sh i g e o,×,-
芸人,コンビ,ショウショウ,ショウショウ,sh o u sh o u,×,-
芸人,コンビ,130R,イチサンマルアール,i ch i s a n m a r u a a r u,×,-
芸人,ピン,石田靖,イシダヤスシ,i sh i d a y a s u sh i,×,-
芸人,ピン,ぜんじろう,ゼンジロウ,z e n j i r o u,×,-
芸人,ピン,中條健一,チュウジョウケンイチ,ch u u j o u k e n i ch i,×,-
芸人,ピン,幹てつや,カンテツヤ,k a n t e ts u y a,×,-
芸人,コンビ,平和ラッパ梅乃ハッパ,ヘイワラッパウメノハッパ,h e i w a r a p p a u m e n o h a p p a,×,-
芸人,ピン,島田珠代,シマダタマヨ,sh i m a d a t a m a y o,×,-
芸人,ピン,清水キョウイチ郎,シミズキョウイチロウ,sh i m i z u k y o u i ch i r o u,×,-
芸人,ピン,宮迫博之,ミヤサコヒロユキ,m i y a s a k o h i r o y u k i,×,-
